affair_type,date,file1,file2,file3,file4,file_urls,files,identifier,path,politican,session,title
28.01.2010,,https://www.ow.ch/dl.php/de/4b2f838e09055/Befristete_Sondersteuer_Infrastrukturanlagen.pdf,https://www.ow.ch/dl.php/de/4b559c8894a2d/Befristete_Sondersteuer_Infrastrukturanlagen_Antwort.pdf,,,"https://www.ow.ch/dl.php/de/4b2f838e09055/Befristete_Sondersteuer_Infrastrukturanlagen.pdf,https://www.ow.ch/dl.php/de/4b559c8894a2d/Befristete_Sondersteuer_Infrastrukturanlagen_Antwort.pdf,,","[{'url': 'https://www.ow.ch/dl.php/de/4b2f838e09055/Befristete_Sondersteuer_Infrastrukturanlagen.pdf', 'path': 'full/8de26fef693e16ec0dba6e4c03ee3ba25e3ce14f.pdf', 'checksum': '8427a7f22fa1bc6d18ae9cc287f55043', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/4b559c8894a2d/Befristete_Sondersteuer_Infrastrukturanlagen_Antwort.pdf', 'path': 'full/2bbaad1f8a2c6f7a8d442b2c21e2c4a221083d57.pdf', 'checksum': '0da9075001bd1514152df576a739bcd1', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}]",Bericht und Antrag,"affairs/ow/Bericht und Antrag_Befristete_Sondersteuer_Infrastrukturanlagen.pdf,affairs/ow/Bericht und Antrag_Befristete_Sondersteuer_Infrastrukturanlagen_Antwort.pdf,affairs/ow/14.20.2126.06.2020_robots.txt,affairs/ow/14.20.2126.06.2020_robots.txt",,28.01.2010 - Kantonsratssitzung,Motion betreffend befristete Sondersteuer für Infrastrukturanlagen der Gemeinden
11.03.2010,,https://www.ow.ch/dl.php/de/4b79426447cb0/Gesellschaftsfragen_Botschaft.pdf,https://www.ow.ch/dl.php/de/4b79426449c41/Gesellschaftsfragen_Verordnungsentwurf.pdf,,,"https://www.ow.ch/dl.php/de/4b79426447cb0/Gesellschaftsfragen_Botschaft.pdf,https://www.ow.ch/dl.php/de/4b79426449c41/Gesellschaftsfragen_Verordnungsentwurf.pdf,,","[{'url': 'https://www.ow.ch/dl.php/de/4b79426447cb0/Gesellschaftsfragen_Botschaft.pdf', 'path': 'full/e3145fbd8ee8fbbfab67ed772b46d387dc828ff5.pdf', 'checksum': 'ece2eba096b6d54b9dc821953a52efbe', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/4b79426449c41/Gesellschaftsfragen_Verordnungsentwurf.pdf', 'path': 'full/2a794548c6fb1c4bed4330d31522d56404658d60.pdf', 'checksum': '6a6b9c83122dc96cb735ba0a3bfe8b34', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}]",Vorlage,"affairs/ow/Vorlage_Gesellschaftsfragen_Botschaft.pdf,affairs/ow/Vorlage_Gesellschaftsfragen_Verordnungsentwurf.pdf,affairs/ow/14.20.2126.06.2020_robots.txt,affairs/ow/14.20.2126.06.2020_robots.txt",Walter Wyrsch,11.03.2010 - Kantonsratssitzung,Verordnung über eine Fachstelle für Gesellschaftsfragen
22.04.2010,,https://www.ow.ch/dl.php/de/4ba3743d831af/Motion_Bildungsraum_Zentralschweiz.pdf,https://www.ow.ch/dl.php/de/4bc321e7618a1/Motion_Bildungsraum_Zentralschweiz_Antwort.pdf,,,"https://www.ow.ch/dl.php/de/4ba3743d831af/Motion_Bildungsraum_Zentralschweiz.pdf,https://www.ow.ch/dl.php/de/4bc321e7618a1/Motion_Bildungsraum_Zentralschweiz_Antwort.pdf,,","[{'url': 'https://www.ow.ch/dl.php/de/4ba3743d831af/Motion_Bildungsraum_Zentralschweiz.pdf', 'path': 'full/37e23776df7c39410a4d0bd82de9a39e02741739.pdf', 'checksum': '0914947f84a480f73bf3a1b976ab463a', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/4bc321e7618a1/Motion_Bildungsraum_Zentralschweiz_Antwort.pdf', 'path': 'full/eaa4ba746bbc8bbd57dca93d1b61c76392adc221.pdf', 'checksum': 'dfc3e9644424501120276897c2fdfb08', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}]",Motion,"affairs/ow/Motion_Motion_Bildungsraum_Zentralschweiz.pdf,affairs/ow/Motion_Motion_Bildungsraum_Zentralschweiz_Antwort.pdf,affairs/ow/14.20.2126.06.2020_robots.txt,affairs/ow/14.20.2126.06.2020_robots.txt",,22.04.2010 - Kantonsratssitzung,Motion betreffend Bildungsraum Zentralschweiz
22.04.2010,,https://www.ow.ch/dl.php/de/4ba3739f0ca34/Motion_Juko_Pavillon.pdf,https://www.ow.ch/dl.php/de/4bc321c289d7c/Motion_Juko_Pavillon_Antwort.pdf,,,"https://www.ow.ch/dl.php/de/4ba3739f0ca34/Motion_Juko_Pavillon.pdf,https://www.ow.ch/dl.php/de/4bc321c289d7c/Motion_Juko_Pavillon_Antwort.pdf,,","[{'url': 'https://www.ow.ch/dl.php/de/4ba3739f0ca34/Motion_Juko_Pavillon.pdf', 'path': 'full/6ebd45bdd725703d606d0a092a9d160a01f20ef2.pdf', 'checksum': '680944a0feae49629e17217aef9347af', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/4bc321c289d7c/Motion_Juko_Pavillon_Antwort.pdf', 'path': 'full/8dc2dba35ceb0e989aed7b8b5433e7672e6030f0.pdf', 'checksum': '4c201c650ddcfb84970324dde13f3a1f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}]",Motion,"affairs/ow/Motion_Motion_Juko_Pavillon.pdf,affairs/ow/Motion_Motion_Juko_Pavillon_Antwort.pdf,affairs/ow/14.20.2126.06.2020_robots.txt,affairs/ow/14.20.2126.06.2020_robots.txt",,22.04.2010 - Kantonsratssitzung,Motion betreffend „Den Geist des Juko-Pavillon am Leben erhalten“
25.03.2010,,https://www.ow.ch/dl.php/de/ax-58d9fbb140ddc/Anfrage_betreffend_Zusammensetzung_des_Eigenkapitals.pdf,https://www.ow.ch/dl.php/de/ax-58d9fbbab8802/Beantwortung_des_Regierungsrats.pdf,,,"https://www.ow.ch/dl.php/de/ax-58d9fbb140ddc/Anfrage_betreffend_Zusammensetzung_des_Eigenkapitals.pdf,https://www.ow.ch/dl.php/de/ax-58d9fbbab8802/Beantwortung_des_Regierungsrats.pdf,,","[{'url': 'https://www.ow.ch/dl.php/de/ax-58d9fbb140ddc/Anfrage_betreffend_Zusammensetzung_des_Eigenkapitals.pdf', 'path': 'full/981d7dea9269852a3447e96b2da855f32563da09.pdf', 'checksum': '303cacb079156f3c7bf7a93494a32618', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/ax-58d9fbbab8802/Beantwortung_des_Regierungsrats.pdf', 'path': 'full/495f3dc96c9bd43987734721f89123d7084a01b7.pdf', 'checksum': '0723305b9b4ae132122542d5a41e87f1', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}]",Vorlage,"affairs/ow/Vorlage_Anfrage_betreffend_Zusammensetzung_des_Eigenkapitals.pdf,affairs/ow/Vorlage_Beantwortung_des_Regierungsrats.pdf,affairs/ow/14.20.2126.06.2020_robots.txt,affairs/ow/14.20.2126.06.2020_robots.txt",,,Anfrage betreffend Zusammensetzung des Eigenkapitals:
22.04.2010,,https://www.ow.ch/dl.php/de/4ba3749853504/Interpellation_Kantonsfinanzen.pdf,https://www.ow.ch/dl.php/de/4bc32208b37e2/Interpellation_Kantonsfinanzen_Antwort.pdf,,,"https://www.ow.ch/dl.php/de/4ba3749853504/Interpellation_Kantonsfinanzen.pdf,https://www.ow.ch/dl.php/de/4bc32208b37e2/Interpellation_Kantonsfinanzen_Antwort.pdf,,","[{'url': 'https://www.ow.ch/dl.php/de/4ba3749853504/Interpellation_Kantonsfinanzen.pdf', 'path': 'full/6ba472b011807ee56a85f677598d21a22e962f59.pdf', 'checksum': 'a7214156bf0906b2a7bb1dfc95056e61', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/4bc32208b37e2/Interpellation_Kantonsfinanzen_Antwort.pdf', 'path': 'full/92eb5d869c6a66dce3eb1f764741e4ee774e1da5.pdf', 'checksum': 'bd415f8bda944c16839f61d249804755', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}]",Interpellation,"affairs/ow/Interpellation_Interpellation_Kantonsfinanzen.pdf,affairs/ow/Interpellation_Interpellation_Kantonsfinanzen_Antwort.pdf,affairs/ow/14.20.2126.06.2020_robots.txt,affairs/ow/14.20.2126.06.2020_robots.txt",,22.04.2010 - Kantonsratssitzung,Interpellation betreffend Kantonsfinanzen: Fakten auf den Tisch
09.09.2010,,https://www.ow.ch/dl.php/de/4c73dc034048f/Motion_Richterentschadigung.pdf,https://www.ow.ch/dl.php/de/4c73dc0341427/Motion_Richterentschadigung_Antwort.pdf,,,"https://www.ow.ch/dl.php/de/4c73dc034048f/Motion_Richterentschadigung.pdf,https://www.ow.ch/dl.php/de/4c73dc0341427/Motion_Richterentschadigung_Antwort.pdf,,","[{'url': 'https://www.ow.ch/dl.php/de/4c73dc034048f/Motion_Richterentschadigung.pdf', 'path': 'full/e94636176a9e523f63d9ceb44cc0d94f88639847.pdf', 'checksum': 'a87ee139817a52647b38e06fa8dccb7c', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/4c73dc0341427/Motion_Richterentschadigung_Antwort.pdf', 'path': 'full/b01f20a049eb6819a8533ec30cf90a8acf7a518e.pdf', 'checksum': '10cdcbf844124b31c7377240aba67b86', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}]",Motion,"affairs/ow/Motion_Motion_Richterentschadigung.pdf,affairs/ow/Motion_Motion_Richterentschadigung_Antwort.pdf,affairs/ow/14.20.2126.06.2020_robots.txt,affairs/ow/14.20.2126.06.2020_robots.txt",,09.09.2010 - Kantonsratssitzung,Motion betreffend Entschädigung der nebenamtlichen Richter und Richterinnen für das Aktenstudium
28.10.2010,,https://www.ow.ch/dl.php/de/4ca0839fc48f1/Motion_Kapitalsteuer.pdf,https://www.ow.ch/dl.php/de/4ca0839fc591b/Motion_Kapitalsteuer_Antwort.pdf,,,"https://www.ow.ch/dl.php/de/4ca0839fc48f1/Motion_Kapitalsteuer.pdf,https://www.ow.ch/dl.php/de/4ca0839fc591b/Motion_Kapitalsteuer_Antwort.pdf,,","[{'url': 'https://www.ow.ch/dl.php/de/4ca0839fc48f1/Motion_Kapitalsteuer.pdf', 'path': 'full/7173330e1d6cf08f764c21eee1f530f551dff87c.pdf', 'checksum': '5afdf8b2b8f87617faac39c123faca38', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/4ca0839fc591b/Motion_Kapitalsteuer_Antwort.pdf', 'path': 'full/2c5eee696f5ae493f758aa6a3d0a7675e8cd936e.pdf', 'checksum': '0578cd8c59227b6afff5f725de96f953', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}]",Motion,"affairs/ow/Motion_Motion_Kapitalsteuer.pdf,affairs/ow/Motion_Motion_Kapitalsteuer_Antwort.pdf,affairs/ow/14.20.2126.06.2020_robots.txt,affairs/ow/14.20.2126.06.2020_robots.txt",,28.10.2010 - Kantonsratssitzung,Motion betreffend Reduzierung der Kapitalsteuer bei gemischten Holding- und Domizilgesellschaften
28.10.2010,,https://www.ow.ch/dl.php/de/4cb718c8c54d0/Motion_Ueberpruefung_Aufgabenverteilung.pdf,https://www.ow.ch/dl.php/de/4cb718c8c6389/Motion_Ueberpruefung_Aufgabenverteilung_Antwort.pdf,,,"https://www.ow.ch/dl.php/de/4cb718c8c54d0/Motion_Ueberpruefung_Aufgabenverteilung.pdf,https://www.ow.ch/dl.php/de/4cb718c8c6389/Motion_Ueberpruefung_Aufgabenverteilung_Antwort.pdf,,","[{'url': 'https://www.ow.ch/dl.php/de/4cb718c8c54d0/Motion_Ueberpruefung_Aufgabenverteilung.pdf', 'path': 'full/f143e24c6b952a11f9e8006ab03fcff9d93c3209.pdf', 'checksum': 'e97f3463f7a91229c556b81288801909', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/4cb718c8c6389/Motion_Ueberpruefung_Aufgabenverteilung_Antwort.pdf', 'path': 'full/1be5b454be6b9d9585a733810103773c22fd729e.pdf', 'checksum': '81addd9f1bd3670422c95690f82ffd9f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}]",Motion,"affairs/ow/Motion_Motion_Ueberpruefung_Aufgabenverteilung.pdf,affairs/ow/Motion_Motion_Ueberpruefung_Aufgabenverteilung_Antwort.pdf,affairs/ow/14.20.2126.06.2020_robots.txt,affairs/ow/14.20.2126.06.2020_robots.txt",Walter Wyrsch,28.10.2010 - Kantonsratssitzung,Motion betreffend Überprüfung der Aufgabenverteilung
28.10.2010,,https://www.ow.ch/dl.php/de/4ca082fba0a19/Motion_Baubegriffe_Messweisen.pdf,https://www.ow.ch/dl.php/de/4ca082fba19b9/Motion_Baubegriffe_Messweisen_Antwort.pdf,,,"https://www.ow.ch/dl.php/de/4ca082fba0a19/Motion_Baubegriffe_Messweisen.pdf,https://www.ow.ch/dl.php/de/4ca082fba19b9/Motion_Baubegriffe_Messweisen_Antwort.pdf,,","[{'url': 'https://www.ow.ch/dl.php/de/4ca082fba0a19/Motion_Baubegriffe_Messweisen.pdf', 'path': 'full/e862a102bcfb1598c18d3d53cc124c30999740dc.pdf', 'checksum': 'e6a9d31dfd6afc718f0952090fc83da2', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/4ca082fba19b9/Motion_Baubegriffe_Messweisen_Antwort.pdf', 'path': 'full/d1fa3f60143698efaaec3666d344d8c83a596b78.pdf', 'checksum': '8abc8ccd4e48a36831b1a00395cd8cf4', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}]",Motion,"affairs/ow/Motion_Motion_Baubegriffe_Messweisen.pdf,affairs/ow/Motion_Motion_Baubegriffe_Messweisen_Antwort.pdf,affairs/ow/14.20.2126.06.2020_robots.txt,affairs/ow/14.20.2126.06.2020_robots.txt",,28.10.2010 - Kantonsratssitzung,Motion betreffend Vereinheitlichung der Baubegriffe und Messweisen
02.12.2010,,https://www.ow.ch/dl.php/de/4cd9555e2e14f/Interpellation_Denkmalschutz_Wohnhaeuser.pdf,https://www.ow.ch/dl.php/de/4cea8713607a5/Interpellation_Denkmalschutz_Wohnhaeuser_Antwort.pdf,,,"https://www.ow.ch/dl.php/de/4cd9555e2e14f/Interpellation_Denkmalschutz_Wohnhaeuser.pdf,https://www.ow.ch/dl.php/de/4cea8713607a5/Interpellation_Denkmalschutz_Wohnhaeuser_Antwort.pdf,,","[{'url': 'https://www.ow.ch/dl.php/de/4cd9555e2e14f/Interpellation_Denkmalschutz_Wohnhaeuser.pdf', 'path': 'full/be273b711ff3698591a8e887020e84b1b17448db.pdf', 'checksum': '696f1590f3d874a5776ce238c164b2c1', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/4cea8713607a5/Interpellation_Denkmalschutz_Wohnhaeuser_Antwort.pdf', 'path': 'full/14ec6a9bb6f68c527373816955d2d181cd1b7a15.pdf', 'checksum': 'fd136eb6f08dc242692c4a07c352b842', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}]",Bericht und Antrag,"affairs/ow/Bericht und Antrag_Interpellation_Denkmalschutz_Wohnhaeuser.pdf,affairs/ow/Bericht und Antrag_Interpellation_Denkmalschutz_Wohnhaeuser_Antwort.pdf,affairs/ow/14.20.2126.06.2020_robots.txt,affairs/ow/14.20.2126.06.2020_robots.txt",,02.12.2010 - Kantonsratssitzung,Interpellation betreffend Denkmalschutz von Wohnhäusern
02.12.2010,,https://www.ow.ch/dl.php/de/4cd9549017ac1/Interpellation_Ortsplanung_Sarnen.pdf,https://www.ow.ch/dl.php/de/4cea86f834127/Interpellation_Ortsplanung_Sarnen_Antwort.pdf,,,"https://www.ow.ch/dl.php/de/4cd9549017ac1/Interpellation_Ortsplanung_Sarnen.pdf,https://www.ow.ch/dl.php/de/4cea86f834127/Interpellation_Ortsplanung_Sarnen_Antwort.pdf,,","[{'url': 'https://www.ow.ch/dl.php/de/4cd9549017ac1/Interpellation_Ortsplanung_Sarnen.pdf', 'path': 'full/222dfa8ea809a86d005b7310d712a25c89627231.pdf', 'checksum': '71acd33dab92b299db41758626d402fb', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/4cea86f834127/Interpellation_Ortsplanung_Sarnen_Antwort.pdf', 'path': 'full/611e9fe85df933bdf6a96fedc94c1410095db55e.pdf', 'checksum': '566b552febb4cd2a1c4316aff863ac4d', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}]",Interpellation,"affairs/ow/Interpellation_Interpellation_Ortsplanung_Sarnen.pdf,affairs/ow/Interpellation_Interpellation_Ortsplanung_Sarnen_Antwort.pdf,affairs/ow/14.20.2126.06.2020_robots.txt,affairs/ow/14.20.2126.06.2020_robots.txt",,02.12.2010 - Kantonsratssitzung,Interpellation betreffend Vorprüfungsbericht des Kantons betreffend Teilrevision der Ortsplanung Sarnen
27.01.2011,,https://www.ow.ch/dl.php/de/4d19ba492827b/Interpellation_Hochwasser.pdf,https://www.ow.ch/dl.php/de/4d341193e6e6e/Interpellation_Hochwasser_Antwort.pdf,,,"https://www.ow.ch/dl.php/de/4d19ba492827b/Interpellation_Hochwasser.pdf,https://www.ow.ch/dl.php/de/4d341193e6e6e/Interpellation_Hochwasser_Antwort.pdf,,","[{'url': 'https://www.ow.ch/dl.php/de/4d19ba492827b/Interpellation_Hochwasser.pdf', 'path': 'full/d9922879fed673c10e1e47e43d28feba579a694d.pdf', 'checksum': '76a38edc20104304eaaa6b4988d44a11', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/4d341193e6e6e/Interpellation_Hochwasser_Antwort.pdf', 'path': 'full/053138192aba3ece5835b1b0919486d57e9e8618.pdf', 'checksum': 'ebe43a70904b79869d39c30d6e36355f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}]",Interpellation,"affairs/ow/Interpellation_Interpellation_Hochwasser.pdf,affairs/ow/Interpellation_Interpellation_Hochwasser_Antwort.pdf,affairs/ow/14.20.2126.06.2020_robots.txt,affairs/ow/14.20.2126.06.2020_robots.txt",,27.01.2011 - Kantonsratssitzung,Interpellation betreffend Umsetzung der Initiative durch den Regierungsrat nach der kantonalen Hochwasserschutz-Abstimmung vom 26. September 2010
27.01.2011,,https://www.ow.ch/dl.php/de/4d19bae76bf88/Interpellation_Zentralbahn.pdf,https://www.ow.ch/dl.php/de/4d34117530bb2/Interpellation_Zentralbahn_Antwort.pdf,,,"https://www.ow.ch/dl.php/de/4d19bae76bf88/Interpellation_Zentralbahn.pdf,https://www.ow.ch/dl.php/de/4d34117530bb2/Interpellation_Zentralbahn_Antwort.pdf,,","[{'url': 'https://www.ow.ch/dl.php/de/4d19bae76bf88/Interpellation_Zentralbahn.pdf', 'path': 'full/a06bde542d7bbfbe9dfedf19441fd8b2f6730cd4.pdf', 'checksum': 'e0c7445f3b5084cc6a04591bdc0eac75', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/4d34117530bb2/Interpellation_Zentralbahn_Antwort.pdf', 'path': 'full/a0efec02fa50be5cd6630bf2fa7a5b674790cb79.pdf', 'checksum': '549a5c5d2f43eb805c7452c7db9955ae', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}]",Interpellation,"affairs/ow/Interpellation_Interpellation_Zentralbahn.pdf,affairs/ow/Interpellation_Interpellation_Zentralbahn_Antwort.pdf,affairs/ow/14.20.2126.06.2020_robots.txt,affairs/ow/14.20.2126.06.2020_robots.txt",Ruth Koch-Niederberger,27.01.2011 - Kantonsratssitzung,Interpellation betreffend Auswirkungen der Projektänderung beim geplanten Doppelspurausbau der Zentralbahn in Hergiswil
07.03.2011,,https://www.ow.ch/dl.php/de/4d592625c1bec/Motion_Strafverfolgung_Wirtschaftsdelikte.pdf,https://www.ow.ch/dl.php/de/4d6b674021fb1/Motion_Wirtschaftsdelikte_Antwort.pdf,,,"https://www.ow.ch/dl.php/de/4d592625c1bec/Motion_Strafverfolgung_Wirtschaftsdelikte.pdf,https://www.ow.ch/dl.php/de/4d6b674021fb1/Motion_Wirtschaftsdelikte_Antwort.pdf,,","[{'url': 'https://www.ow.ch/dl.php/de/4d592625c1bec/Motion_Strafverfolgung_Wirtschaftsdelikte.pdf', 'path': 'full/c6c03ebe706110559a42758850f7552faf2189fc.pdf', 'checksum': '98b2b31eb927caefbdc6fa90e8a5b9bc', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/4d6b674021fb1/Motion_Wirtschaftsdelikte_Antwort.pdf', 'path': 'full/31893bd6ecbcc2c18c4db89895941b3f167a2032.pdf', 'checksum': '805a7f01f762b671aaa2001ef73c7875', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}]",Motion,"affairs/ow/Motion_Motion_Strafverfolgung_Wirtschaftsdelikte.pdf,affairs/ow/Motion_Motion_Wirtschaftsdelikte_Antwort.pdf,affairs/ow/14.20.2126.06.2020_robots.txt,affairs/ow/14.20.2126.06.2020_robots.txt",,17.03.2011 - Kantonsratssitzung,Motion betreffend Zusammenarbeit bei der Strafverfolgung von Wirtschaftsdelikten
17.03.2011,,https://www.ow.ch/dl.php/de/4d5927be40158/Interpellation_Lohngleichheit.pdf,https://www.ow.ch/dl.php/de/4d6b67236c018/Interpellation_Lohngleichheit_Antwort.pdf,,,"https://www.ow.ch/dl.php/de/4d5927be40158/Interpellation_Lohngleichheit.pdf,https://www.ow.ch/dl.php/de/4d6b67236c018/Interpellation_Lohngleichheit_Antwort.pdf,,","[{'url': 'https://www.ow.ch/dl.php/de/4d5927be40158/Interpellation_Lohngleichheit.pdf', 'path': 'full/8b60f2417049df96df44d0c91055dd8252bc952c.pdf', 'checksum': '2a15e18f0b035250620f2b3670eedf39', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/4d6b67236c018/Interpellation_Lohngleichheit_Antwort.pdf', 'path': 'full/0197a0585a2ad94a92c0ecdfb45a8fa754ad633c.pdf', 'checksum': 'bffad62ecb1fff92ccb07937cdce6f33', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}, {'url': '', 'path': 'full/6ddb9affb092075dcdc54ef7ba0cd82359fba555.txt', 'checksum': 'ad4d396595d8b75780b3b2c049a1635f', 'status': 'downloaded'}]",Interpellation,"affairs/ow/Interpellation_Interpellation_Lohngleichheit.pdf,affairs/ow/Interpellation_Interpellation_Lohngleichheit_Antwort.pdf,affairs/ow/14.20.2126.06.2020_robots.txt,affairs/ow/14.20.2126.06.2020_robots.txt",,17.03.2011 - Kantonsratssitzung,Interpellation betreffend Lohngleichheit für Frau und Mann
