date,file_urls,files,path,title
14.10.2005,"https://www.ow.ch/dl.php/de/20051012103543/Mediemitteilung_Lotterie.doc,https://www.ow.ch/dl.php/de/20051012103802/Medienmitteilung_Schutzplaene.doc,https://www.ow.ch/dl.php/de/20051013170213/Fremdsprache.pdf,https://www.ow.ch/dl.php/de/20051013170304/Laboratorium.pdf","[{'url': 'https://www.ow.ch/dl.php/de/20051012103543/Mediemitteilung_Lotterie.doc', 'path': 'full/372fc9a8d16240e208bd76b9b7645d5f3e1284c6.doc', 'checksum': '9d885feeb10a85e76379fb99e9d11e04', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20051012103802/Medienmitteilung_Schutzplaene.doc', 'path': 'full/e2e7cd767b64b4bd266e96d88fc75d565ece8a40.doc', 'checksum': '4e21bb3e07dc337719302a7338a75574', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20051013170213/Fremdsprache.pdf', 'path': 'full/a4194637ee15463beb52ac54cd078f10100e2859.pdf', 'checksum': 'f6e89ae1be054ab286c3a2d7bc0918fa', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20051013170304/Laboratorium.pdf', 'path': 'full/1dd89592e770d411f10cd96d52d0ca87c9dad1c7.pdf', 'checksum': '0fcc4d6ac3b5d6bfa098c8d297d1375c', 'status': 'downloaded'}]","sessions/ow/Kantonsratssitzung14.10.2005_Mediemitteilung_Lotterie.doc,sessions/ow/Kantonsratssitzung14.10.2005_Medienmitteilung_Schutzplaene.doc,sessions/ow/Kantonsratssitzung14.10.2005_Fremdsprache.pdf,sessions/ow/Kantonsratssitzung14.10.2005_Laboratorium.pdf",Kantonsratssitzung
27.10.2005,"https://www.ow.ch/dl.php/de/20051010145937/Medienmitteilung_Ausgabenbremse.doc,https://www.ow.ch/dl.php/de/20051010150052/Medienmitteilung_Seefl%E4chen.doc,https://www.ow.ch/dl.php/de/20051010150234/Medienmitteilung_Tourismus.doc,https://www.ow.ch/dl.php/de/20051010150330/Traktandenliste+25.+Januar+2008.doc","[{'url': 'https://www.ow.ch/dl.php/de/20051010145937/Medienmitteilung_Ausgabenbremse.doc', 'path': 'full/06111ec058215b9b28da00b8b54b175de453854d.doc', 'checksum': '3490116eb5f8825a0bdb63183dd245cb', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20051010150052/Medienmitteilung_Seefl%E4chen.doc', 'path': 'full/5334c59ec6833b87a2fcd2e999eed6274c5febca.doc', 'checksum': '99222f1dbca72cd2d9be60d4ce98ed16', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20051010150234/Medienmitteilung_Tourismus.doc', 'path': 'full/d490060f8611f3b6c2badcce977ee14254912e4c.doc', 'checksum': 'bb53f77121826120cacb1cfd61e69128', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20051010150330/Traktandenliste+25.+Januar+2008.doc', 'path': 'full/fc5ba456334507be48b7cec0ce0f433793a71690.doc', 'checksum': '6e981367e56dfbf125b90c4611fa201a', 'status': 'downloaded'}]","sessions/ow/Kantonsratssitzung27.10.2005_Medienmitteilung_Ausgabenbremse.doc,sessions/ow/Kantonsratssitzung27.10.2005_Medienmitteilung_Seefl%E4chen.doc,sessions/ow/Kantonsratssitzung27.10.2005_Medienmitteilung_Tourismus.doc,sessions/ow/Kantonsratssitzung27.10.2005_Traktandenliste+25.+Januar+2008.doc",Kantonsratssitzung
27.01.2006,"https://www.ow.ch/dl.php/de/20060118075111/Bildungsgesetz_Steuerung_Organigramm.pdf,https://www.ow.ch/dl.php/de/20060117171051/Traktandenliste27012006.doc,https://www.ow.ch/dl.php/de/20060117171147/Medienmitteilung_Bildungsgesetz_Regierungsrat.pdf,https://www.ow.ch/dl.php/de/20060117171321/Medienmitteilung_Bildungsgesetz_Kantonsrat.pdf","[{'url': 'https://www.ow.ch/dl.php/de/20060118075111/Bildungsgesetz_Steuerung_Organigramm.pdf', 'path': 'full/acadd7b9f8b6ee6f1f8a3d807c0814dfb51a92fc.pdf', 'checksum': 'a2206d132c1f3a7ff536c1f2ebcaf23f', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20060117171051/Traktandenliste27012006.doc', 'path': 'full/5196aefc42c4c184f4a899db9373d187c77ebd67.doc', 'checksum': '165ef861cacf475079a3eaf7af6ae9a1', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20060117171147/Medienmitteilung_Bildungsgesetz_Regierungsrat.pdf', 'path': 'full/d23d76825e098cd57441cecb3976aeb3e1d937c6.pdf', 'checksum': '628d1b33b9280d1d7e182bd2a1bc10bc', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20060117171321/Medienmitteilung_Bildungsgesetz_Kantonsrat.pdf', 'path': 'full/28951e3a2087b1a132f7c9fe0bf23b0bc86aa197.pdf', 'checksum': 'f31b99f5d76648c592bd46bdb20e3093', 'status': 'downloaded'}]","sessions/ow/Kantonsratssitzung27.01.2006_Bildungsgesetz_Steuerung_Organigramm.pdf,sessions/ow/Kantonsratssitzung27.01.2006_Traktandenliste27012006.doc,sessions/ow/Kantonsratssitzung27.01.2006_Medienmitteilung_Bildungsgesetz_Regierungsrat.pdf,sessions/ow/Kantonsratssitzung27.01.2006_Medienmitteilung_Bildungsgesetz_Kantonsrat.pdf",Kantonsratssitzung
05.05.2006,"https://www.ow.ch/dl.php/de/20060425085334/%DCberstundenregelung_Medienmitteilung+der+vorberatenden+Kommission.pdf,https://www.ow.ch/dl.php/de/20060321135752/Medienmitteilung_Psychiaterie_Obwalden.doc,https://www.ow.ch/dl.php/de/20060321140810/Traktandenliste_5.+Mai_2006.doc,https://www.ow.ch/dl.php/de/20060411100800/Medienmitteilung_Bevorschussung+von+Unterhaltsbeitr%E4gen.pdf","[{'url': 'https://www.ow.ch/dl.php/de/20060425085334/%DCberstundenregelung_Medienmitteilung+der+vorberatenden+Kommission.pdf', 'path': 'full/a90ab2014c102e471ef6ae929cd8197c68b23cf5.pdf', 'checksum': 'cde6c96d3f4ec004fde9a7908f9977fd', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20060321135752/Medienmitteilung_Psychiaterie_Obwalden.doc', 'path': 'full/b52efd23843a35f026bb812f5b113ae658a7bd8a.doc', 'checksum': '3778ef85b3cab5101de99364de511c11', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20060321140810/Traktandenliste_5.+Mai_2006.doc', 'path': 'full/9693087bd80a27459a5dcb8fbd6e34370024e9a3.doc', 'checksum': '727c28ec3e0e1c5abe18e3b4675c1106', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20060411100800/Medienmitteilung_Bevorschussung+von+Unterhaltsbeitr%E4gen.pdf', 'path': 'full/413bde30c2100b956a0dc9fecbc7946b7dfc4cb8.pdf', 'checksum': 'aff6829ab6f5991c5a017d5efb0c5922', 'status': 'downloaded'}]","sessions/ow/Kantonsratssitzung05.05.2006_%DCberstundenregelung_Medienmitteilung+der+vorberatenden+Kommission.pdf,sessions/ow/Kantonsratssitzung05.05.2006_Medienmitteilung_Psychiaterie_Obwalden.doc,sessions/ow/Kantonsratssitzung05.05.2006_Traktandenliste_5.+Mai_2006.doc,sessions/ow/Kantonsratssitzung05.05.2006_Medienmitteilung_Bevorschussung+von+Unterhaltsbeitr%E4gen.pdf",Kantonsratssitzung
16.03.2006,"https://www.ow.ch/dl.php/de/20060203101327/Medienmitteilung_Gew%E4sserschutz_Umweltschutz.pdf,https://www.ow.ch/dl.php/de/20060203101527/Medienmitteilung_Ausbildungsabschl%FCsse.pdf,https://www.ow.ch/dl.php/de/20060203101712/Medienmitteilung_Verkehrskreisel.pdf,https://www.ow.ch/dl.php/de/20060203101809/Medienmitteilung_Wichelsee.pdf","[{'url': 'https://www.ow.ch/dl.php/de/20060203101327/Medienmitteilung_Gew%E4sserschutz_Umweltschutz.pdf', 'path': 'full/bdb06558297f0688cf810f911e4024e02576cdbe.pdf', 'checksum': '0c2a42d5329ed8b9aab86dc4ba070dee', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20060203101527/Medienmitteilung_Ausbildungsabschl%FCsse.pdf', 'path': 'full/a361a6f21b018d87b5dc58fd10c2048d7a16b638.pdf', 'checksum': 'bfa6cca8008c44123f022f87461e78d8', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20060203101712/Medienmitteilung_Verkehrskreisel.pdf', 'path': 'full/3a261bedda5ccb1d0b78f424f87df063fad44076.pdf', 'checksum': '6f5014eca478fb29cf092761f689ea91', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20060203101809/Medienmitteilung_Wichelsee.pdf', 'path': 'full/07cdeb6fae40bc17154d0dad5c8d70a7c77b9d87.pdf', 'checksum': 'b851c05e248915ca262e5e446c34207e', 'status': 'downloaded'}]","sessions/ow/Kantonsratssitzung16.03.2006_Medienmitteilung_Gew%E4sserschutz_Umweltschutz.pdf,sessions/ow/Kantonsratssitzung16.03.2006_Medienmitteilung_Ausbildungsabschl%FCsse.pdf,sessions/ow/Kantonsratssitzung16.03.2006_Medienmitteilung_Verkehrskreisel.pdf,sessions/ow/Kantonsratssitzung16.03.2006_Medienmitteilung_Wichelsee.pdf",Kantonsratssitzung
26.10.2006,"https://www.ow.ch/dl.php/de/20060928170235/Traktandenliste_26.+Oktober+2006.doc,https://www.ow.ch/dl.php/de/20060929102434/Kantonsstrasse+Kerns-K%E4giswil_Situation.pdf,https://www.ow.ch/dl.php/de/20060929102549/Lehnenviadukt+Boden+Engelberg_Fotomontage.pdf,https://www.ow.ch/dl.php/de/20060929102628/Lehnenviadukt+Boden+Engelberg_Grundriss.pdf","[{'url': 'https://www.ow.ch/dl.php/de/20060928170235/Traktandenliste_26.+Oktober+2006.doc', 'path': 'full/0a02562bfaf443bf337d00bb171f6dcad5ebc652.doc', 'checksum': 'd43d8919c82cc9e78f4b7e552dddbcbd', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20060929102434/Kantonsstrasse+Kerns-K%E4giswil_Situation.pdf', 'path': 'full/17709969f99d271308eb5e48b709b90a5e7cc16a.pdf', 'checksum': 'ee53f45b8e731a4a9e30f47529c305a3', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20060929102549/Lehnenviadukt+Boden+Engelberg_Fotomontage.pdf', 'path': 'full/c02eb0696beb64e5f53dae70fd37727f0ccad67a.pdf', 'checksum': '3318a3e17e174672f849019b34ac92d8', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20060929102628/Lehnenviadukt+Boden+Engelberg_Grundriss.pdf', 'path': 'full/ff5a79fa934d40943753ce486adfe98780642768.pdf', 'checksum': 'f54d34469247c05b9c213b923fa7048a', 'status': 'downloaded'}]","sessions/ow/Kantonsratssitzung26.10.2006_Traktandenliste_26.+Oktober+2006.doc,sessions/ow/Kantonsratssitzung26.10.2006_Kantonsstrasse+Kerns-K%E4giswil_Situation.pdf,sessions/ow/Kantonsratssitzung26.10.2006_Lehnenviadukt+Boden+Engelberg_Fotomontage.pdf,sessions/ow/Kantonsratssitzung26.10.2006_Lehnenviadukt+Boden+Engelberg_Grundriss.pdf",Kantonsratssitzung
29.06.2007,"https://www.ow.ch/dl.php/de/20070613165830/Traktandenliste_29_06_07.doc.pdf,https://www.ow.ch/dl.php/de/20070613165958/Sitzordnung_+Rathaus_2007_2008.pdf,https://www.ow.ch/dl.php/de/20070613170115/Mitglieder_Kantonsrat_20072008.pdf,https://www.ow.ch/dl.php/de/20070702083836/Anfrage+Staatsrechtliche+Beschwerde.pdf","[{'url': 'https://www.ow.ch/dl.php/de/20070613165830/Traktandenliste_29_06_07.doc.pdf', 'path': 'full/32834acb150412349b009056aa12f57a81c7a5ff.pdf', 'checksum': 'fe38486c71ebc8c1ffc5e36591da511c', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20070613165958/Sitzordnung_+Rathaus_2007_2008.pdf', 'path': 'full/a4232f5aec29ac523c28dc316ec7ff96bd250014.pdf', 'checksum': 'adc08a37c3c2dbc98f3e44702a8eb38f', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20070613170115/Mitglieder_Kantonsrat_20072008.pdf', 'path': 'full/6bd58e456ea860b3fcca0bc29f1ff586d4bf1f16.pdf', 'checksum': 'a995afebe30923e814ca1a6f68291070', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20070702083836/Anfrage+Staatsrechtliche+Beschwerde.pdf', 'path': 'full/ace45bf0c619ff207a299901ac48a49292b62b5c.pdf', 'checksum': '0e5fce47bf58b4175d6110e19d7d3208', 'status': 'downloaded'}]","sessions/ow/Kantonsratssitzung29.06.2007_Traktandenliste_29_06_07.doc.pdf,sessions/ow/Kantonsratssitzung29.06.2007_Sitzordnung_+Rathaus_2007_2008.pdf,sessions/ow/Kantonsratssitzung29.06.2007_Mitglieder_Kantonsrat_20072008.pdf,sessions/ow/Kantonsratssitzung29.06.2007_Anfrage+Staatsrechtliche+Beschwerde.pdf",Kantonsratssitzung
25.01.2008,"https://www.ow.ch/dl.php/de/0cnv9-zuq05e/Anfrage_Sportanlage_Antwort.pdf,https://www.ow.ch/dl.php/de/20071206141332/Traktandenliste+25.+Januar+2008.doc,https://www.ow.ch/dl.php/de/20080125104832/Neu+eingereicht_Postulat+Kantonale+Aufsicht+%FCber+die+Gemeindefinanzen.pdf,https://www.ow.ch/dl.php/de/20080125104936/Neu+eingereicht_Anfrage+Armeewaffen.pdf","[{'url': 'https://www.ow.ch/dl.php/de/0cnv9-zuq05e/Anfrage_Sportanlage_Antwort.pdf', 'path': 'full/ba5cc8a7e9f847265a838c9c783a85a5999ac6ff.pdf', 'checksum': 'b75c8ea42b8ebae3fd3cdbf472de2424', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20071206141332/Traktandenliste+25.+Januar+2008.doc', 'path': 'full/116efdff111ce16e19ab841f8f6b10f560ab6ba8.doc', 'checksum': '6e981367e56dfbf125b90c4611fa201a', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20080125104832/Neu+eingereicht_Postulat+Kantonale+Aufsicht+%FCber+die+Gemeindefinanzen.pdf', 'path': 'full/b8e7e805d205556660e9c6739d7129e952cf4ee5.pdf', 'checksum': '31d0588a824c14c02efb9ced12e3f89d', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/20080125104936/Neu+eingereicht_Anfrage+Armeewaffen.pdf', 'path': 'full/7c0484fccb6cb0c8069e8909fdd7660034eac2e6.pdf', 'checksum': '32a0b6526d5a0d4546f4173ef83a30f0', 'status': 'downloaded'}]","sessions/ow/Kantonsratssitzung25.01.2008_Anfrage_Sportanlage_Antwort.pdf,sessions/ow/Kantonsratssitzung25.01.2008_Traktandenliste+25.+Januar+2008.doc,sessions/ow/Kantonsratssitzung25.01.2008_Neu+eingereicht_Postulat+Kantonale+Aufsicht+%FCber+die+Gemeindefinanzen.pdf,sessions/ow/Kantonsratssitzung25.01.2008_Neu+eingereicht_Anfrage+Armeewaffen.pdf",Kantonsratssitzung
27.06.2008,"https://www.ow.ch/dl.php/de/0cnv9-vc9vop/Anfrage_Zusammenarbeit_mit_dem_Kanton_Nidwalden_im_Gesundheits-_und_Sozialbereich_Antwort.pdf,https://www.ow.ch/dl.php/de/0cird-x8t161/Traktandenliste_Eroeffnung_Amtsjahr.pdf,https://www.ow.ch/dl.php/de/0cjg1-k17w84/Anfrage_Kostenentwicklung_Spitex.pdf,https://www.ow.ch/dl.php/de/0cjg1-myc91g/Anfrage_Zusammenarbeit_mit_dem_Kanton_Nidwalden_im_Gesundheits-_und_Sozialbereich.pdf","[{'url': 'https://www.ow.ch/dl.php/de/0cnv9-vc9vop/Anfrage_Zusammenarbeit_mit_dem_Kanton_Nidwalden_im_Gesundheits-_und_Sozialbereich_Antwort.pdf', 'path': 'full/bc138ac595e9b948dc69e39a00dbee30fc7aae2b.pdf', 'checksum': 'e58e66752866f914805df5050c137db8', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/0cird-x8t161/Traktandenliste_Eroeffnung_Amtsjahr.pdf', 'path': 'full/05ad955a81f4f45d2be9f4e8a45512afaeed397a.pdf', 'checksum': 'bb2b95d6a4f376906d8af748fc6eb4da', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/0cjg1-k17w84/Anfrage_Kostenentwicklung_Spitex.pdf', 'path': 'full/e35f0d8eeb05311b201836c68d09d96ecd61ab88.pdf', 'checksum': '76d303e05cf593ebcd9d4cdd8899d25a', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/0cjg1-myc91g/Anfrage_Zusammenarbeit_mit_dem_Kanton_Nidwalden_im_Gesundheits-_und_Sozialbereich.pdf', 'path': 'full/cff2bba3847f170f88761e05707b42407ac04c13.pdf', 'checksum': '57abb74888d879bc0373ee5bcc51341d', 'status': 'downloaded'}]","sessions/ow/Kantonsratssitzung27.06.2008_Anfrage_Zusammenarbeit_mit_dem_Kanton_Nidwalden_im_Gesundheits-_und_Sozialbereich_Antwort.pdf,sessions/ow/Kantonsratssitzung27.06.2008_Traktandenliste_Eroeffnung_Amtsjahr.pdf,sessions/ow/Kantonsratssitzung27.06.2008_Anfrage_Kostenentwicklung_Spitex.pdf,sessions/ow/Kantonsratssitzung27.06.2008_Anfrage_Zusammenarbeit_mit_dem_Kanton_Nidwalden_im_Gesundheits-_und_Sozialbereich.pdf",Kantonsratssitzung
11.09.2008,"https://www.ow.ch/dl.php/de/0ck1l-1yxlvm/Traktandenliste_2008.09.11.pdf,https://www.ow.ch/dl.php/de/0cl78-lhpw61/Anfrage_Zusammenarbeit_mit_Nidwalden_im_Gesundheits-_Sozialbereich_Antwort.pdf,https://www.ow.ch/dl.php/de/0cl7a-xfrgb0/Anfrage_Zusammenarbeit_mit_Nidwalden_im_Gesundheits-_Sozialbereich.pdf,https://www.ow.ch/dl.php/de/0clvt-90394f/Neu_eingereicht_Interpellation_Menschen_mit_Behinderung.pdf","[{'url': 'https://www.ow.ch/dl.php/de/0ck1l-1yxlvm/Traktandenliste_2008.09.11.pdf', 'path': 'full/cf00ec556906ab435fbfa0aaa7d576c8f317e96d.pdf', 'checksum': '644e42c3b4885aa08beff89476c41ad8', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/0cl78-lhpw61/Anfrage_Zusammenarbeit_mit_Nidwalden_im_Gesundheits-_Sozialbereich_Antwort.pdf', 'path': 'full/258ef3c2258cb4cf4bbc776913d1de20416ea581.pdf', 'checksum': 'dcaabd8e70e13ed5195ae351039a96cc', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/0cl7a-xfrgb0/Anfrage_Zusammenarbeit_mit_Nidwalden_im_Gesundheits-_Sozialbereich.pdf', 'path': 'full/aad9a0171f62c1ce5ffc073100f879eae3d6f654.pdf', 'checksum': '57abb74888d879bc0373ee5bcc51341d', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/0clvt-90394f/Neu_eingereicht_Interpellation_Menschen_mit_Behinderung.pdf', 'path': 'full/f65ef6f77e59d150f67d3f150a22abd8eb9941f8.pdf', 'checksum': '7ef2ee4b7825f7730c317865ed6e90dc', 'status': 'downloaded'}]","sessions/ow/Kantonsratssitzung11.09.2008_Traktandenliste_2008.09.11.pdf,sessions/ow/Kantonsratssitzung11.09.2008_Anfrage_Zusammenarbeit_mit_Nidwalden_im_Gesundheits-_Sozialbereich_Antwort.pdf,sessions/ow/Kantonsratssitzung11.09.2008_Anfrage_Zusammenarbeit_mit_Nidwalden_im_Gesundheits-_Sozialbereich.pdf,sessions/ow/Kantonsratssitzung11.09.2008_Neu_eingereicht_Interpellation_Menschen_mit_Behinderung.pdf",Kantonsratssitzung
04.12.2008,"https://www.ow.ch/dl.php/de/0cnn7-wuj183/Traktandenliste_2008.12.04.doc,https://www.ow.ch/dl.php/de/0col1-83ws03/neu_eingereicht_Motion_Aenderung_Abstimmungsgesetz.pdf,https://www.ow.ch/dl.php/de/0col1-994e3j/neu_eingereicht_Motion_Altersgrenze_fr_Stipendien.pdf,https://www.ow.ch/dl.php/de/0col1-9ww4yb/neu_eingereicht_Interpellation_Bauen_ausserhalb_Bauzone.pdf","[{'url': 'https://www.ow.ch/dl.php/de/0cnn7-wuj183/Traktandenliste_2008.12.04.doc', 'path': 'full/088eadf94c597cdfbba0aca1d298b8b69e110871.doc', 'checksum': '358a2fc5809efb25ea678c88fdcec0c7', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/0col1-83ws03/neu_eingereicht_Motion_Aenderung_Abstimmungsgesetz.pdf', 'path': 'full/152ced82583d7e70b7d1f4263661c21f90e485c2.pdf', 'checksum': 'dd7885d21f8f0213075c28fd857af467', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/0col1-994e3j/neu_eingereicht_Motion_Altersgrenze_fr_Stipendien.pdf', 'path': 'full/ebceccb3ea5e0117153ce644e873111b06fd1635.pdf', 'checksum': 'b745445325e15ec5f1af2c0d4d67ef73', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/0col1-9ww4yb/neu_eingereicht_Interpellation_Bauen_ausserhalb_Bauzone.pdf', 'path': 'full/6f5c8c4c7a20c3bea4fed68b90353edfcfbf72b7.pdf', 'checksum': '98d7bb72e62e6af2ad5b094a6744ad35', 'status': 'downloaded'}]","sessions/ow/Kantonsratssitzung04.12.2008_Traktandenliste_2008.12.04.doc,sessions/ow/Kantonsratssitzung04.12.2008_neu_eingereicht_Motion_Aenderung_Abstimmungsgesetz.pdf,sessions/ow/Kantonsratssitzung04.12.2008_neu_eingereicht_Motion_Altersgrenze_fr_Stipendien.pdf,sessions/ow/Kantonsratssitzung04.12.2008_neu_eingereicht_Interpellation_Bauen_ausserhalb_Bauzone.pdf",Kantonsratssitzung
25.04.2008,"https://www.ow.ch/dl.php/de/20080130103832/Traktandenliste_2008_04_25.doc,https://www.ow.ch/dl.php/de/0cgyy-7gp2g7/Interpellation_Energiekonzept_Antwort.pdf,https://www.ow.ch/dl.php/de/0chf1-u4mslx/Motion_Zahlungsfristen_der_oeffentlichen_Hand.pdf,https://www.ow.ch/dl.php/de/0chf1-vq1rkv/Motion_Vaterschaftsurlaub_von_fuenf_Tagen.pdf","[{'url': 'https://www.ow.ch/dl.php/de/20080130103832/Traktandenliste_2008_04_25.doc', 'path': 'full/e13ba1d585c3554aeea6857dd8fb89a744ba33f9.doc', 'checksum': '0b362f643f959323a215e4db3a24cbf8', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/0cgyy-7gp2g7/Interpellation_Energiekonzept_Antwort.pdf', 'path': 'full/505de2cf271e2f869ea059f5d2fb7fbc985ab053.pdf', 'checksum': '761098b230a55b222f5c7aa5342b96dc', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/0chf1-u4mslx/Motion_Zahlungsfristen_der_oeffentlichen_Hand.pdf', 'path': 'full/d6c11874e7e5739bf7bba6ee7a0f5ec5ac9c84e5.pdf', 'checksum': '503d15f344525e6288fdad2f3c47f3f7', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/0chf1-vq1rkv/Motion_Vaterschaftsurlaub_von_fuenf_Tagen.pdf', 'path': 'full/a13fad99387a015440785854ec3b2dce10ae9e45.pdf', 'checksum': '5e8948e20883c9a2f2956284ebe2c829', 'status': 'downloaded'}]","sessions/ow/Kantonsratssitzung25.04.2008_Traktandenliste_2008_04_25.doc,sessions/ow/Kantonsratssitzung25.04.2008_Interpellation_Energiekonzept_Antwort.pdf,sessions/ow/Kantonsratssitzung25.04.2008_Motion_Zahlungsfristen_der_oeffentlichen_Hand.pdf,sessions/ow/Kantonsratssitzung25.04.2008_Motion_Vaterschaftsurlaub_von_fuenf_Tagen.pdf",Kantonsratssitzung
13.03.2009,"https://www.ow.ch/dl.php/de/0cruv-u39x7b/neu_eingereicht_Interpellation_Sportverbnde.pdf,https://www.ow.ch/dl.php/de/0cqem-z2uxtr/Traktandenliste_2009_03_13.doc,https://www.ow.ch/dl.php/de/0cruv-kz7841/neu_eingereicht_Motion_Jugendarbeit.pdf,https://www.ow.ch/dl.php/de/0cruv-m8ucqi/neu_eingereicht_Motion_ausserkantonale_Kultureinrichtungen.pdf","[{'url': 'https://www.ow.ch/dl.php/de/0cruv-u39x7b/neu_eingereicht_Interpellation_Sportverbnde.pdf', 'path': 'full/7f15c2cbf2c787728922931ddd49f17ecccd64ae.pdf', 'checksum': '67987c065ad85008e512b625929ed2a2', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/0cqem-z2uxtr/Traktandenliste_2009_03_13.doc', 'path': 'full/1ac59773a34bd98825bb3a5496f5fcfb6f777cb9.doc', 'checksum': 'a95040180c5de2e9258c864106d054bb', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/0cruv-kz7841/neu_eingereicht_Motion_Jugendarbeit.pdf', 'path': 'full/2a6f6c073b2fcfd9eedbb0de93155ca635d6dc9b.pdf', 'checksum': '2bd1df3dc9d27fd0bf121bbfac52c531', 'status': 'downloaded'}, {'url': 'https://www.ow.ch/dl.php/de/0cruv-m8ucqi/neu_eingereicht_Motion_ausserkantonale_Kultureinrichtungen.pdf', 'path': 'full/d916a1609042cb68e8b8edb9d3b6ad078c2df362.pdf', 'checksum': 'b736cb009d410592be3eee03bf3f0a1e', 'status': 'downloaded'}]","sessions/ow/Kantonsratssitzung13.03.2009_neu_eingereicht_Interpellation_Sportverbnde.pdf,sessions/ow/Kantonsratssitzung13.03.2009_Traktandenliste_2009_03_13.doc,sessions/ow/Kantonsratssitzung13.03.2009_neu_eingereicht_Motion_Jugendarbeit.pdf,sessions/ow/Kantonsratssitzung13.03.2009_neu_eingereicht_Motion_ausserkantonale_Kultureinrichtungen.pdf",Kantonsratssitzung
